Segment,Start,End
PB1,329,2178
PB2,152,2156
PB1,254,2057
PA,157,2111
PB1,183,2177
PB1,148,2165
PB1,2074,2100
PB2,162,2104
PA,179,1986
PA,245,2092
PB1,170,2165
NP,223,1277
PA,291,2027
NS1,145,462
PA,138,208
PB1,126,2139
PB1,98,139
PA,234,1951
PA,269,1949
PA,86,138
PB1,157,2091
PB2,123,2154
PB2,318,937
PA,194,1945
PB1,184,1995
PB2,153,1970
PA,258,1945
PB1,165,1989
PB1,269,2008
PA,301,1951
PA,162,2024
PB2,107,142
PB2,178,2123
PB1,2104,2139
PB1,200,2017
PB1,279,1858
PB1,184,2061
PB2,216,2107
PB1,54,168
PB1,197,2087
PB2,135,2159
PB1,55,1214
PB2,128,2059
PB1,167,2139
PA,1945,1975
PB2,258,2004
PB1,224,1950
PB1,155,2062
PB1,119,149
PB1,143,2109
PA,167,2063
PA,409,1759
PA,1960,2028
PA,171,1992
PB1,223,2016
PB2,90,133
PB2,159,192
PA,120,172
PB1,45,96
PA,158,1881
PB1,78,149
PB2,251,2012
PB2,135,252
PB1,56,2063
PB2,159,2159
PB1,195,1897
PA,164,1927
PB2,266,2204
PB1,329,2159
PB1,147,1962
PB1,119,2139
PB1,219,2129
PA,125,196
PB2,226,2163
PB1,192,214
PB2,109,2152
PB2,162,2140
PB1,187,2128
PA,295,1949
PB2,215,2140
PA,124,168
PA,122,1986
PA,138,248
PB2,109,2159
HA,185,1489
PB1,205,2110
PB1,167,2011
PB1,203,2054
PB1,174,2165
PB2,210,2086
PB1,199,2030
PA,120,1978
PB2,192,2140
PB2,450,1793
PA,316,1808
PB2,187,2139
PB2,191,2152
PB1,162,2129
PB1,2087,2111
PB1,214,2072
PB1,162,2149
PB2,265,2139
PB1,269,2014
PB2,139,2036
PA,157,186
PB1,197,2110
PA,139,1991
PB1,279,2110
PB1,153,2184
PB2,328,1975
PB1,180,2064
PA,146,1745
PA,162,2139
PA,293,2074
PB2,300,1975
PB1,214,2140
PB2,142,2140
PB1,96,121
PA,135,2027
PA,120,147
PB1,68,98
PA,301,1879
PB1,183,2054
PA,167,195
PB1,194,2113
PB2,152,2203
PA,124,147
PB1,373,1896
PB1,130,2110
PB2,201,2203
PB1,97,2030
PA,142,1937
PB1,184,2054
PA,138,1850
PB2,199,2195
PB2,116,2080
PA,301,1808
PB1,117,1968
PB1,329,1989
PB2,140,2140
PB2,192,2115
PB1,188,2081
PB1,162,1988
PB1,167,2091
PA,301,1868
PB1,56,2232
PA,356,1847
PA,110,139
PB1,261,1988
PB1,126,2110
PB1,161,2166
PB1,167,2014
PB1,210,2224
PB1,98,2055
PB1,149,201
PB1,240,1928
PB1,148,2085
PB1,56,2087
PB2,191,2203
PA,85,122
PA,168,1845
PA,294,1960
PB2,223,2152
PB1,142,2094
PB1,138,172
PB1,385,1897
PA,207,1937
PB1,167,2045
PB1,261,1934
PB2,209,2160
PB1,170,2194
PB1,2054,2092
PB1,2104,2129
PB2,2123,2212
PA,132,2063
PB1,2203,2247
PA,120,1987
PB1,197,2096
PB1,166,2080
PA,171,2011
PB2,151,2140
PA,122,1974
PB2,117,160
PA,132,1832
PA,84,147
PB1,328,1928
PA,359,1832
PB1,147,2166
PB1,1883,1928
PB1,224,1988
PB1,124,2110
PA,146,1945
PB2,170,192
PA,208,1929
PA,157,1961
PB2,158,2117
PB2,276,1974
PA,246,2057
PA,333,1978
PA,120,1945
PB1,54,2110
PB1,346,1949
PA,258,2063
PA,313,1808
PB2,218,2173
PB1,168,2130
PB1,2143,2165
PA,244,2068
PA,247,1808
PA,370,1868
PB1,2109,2141
PA,139,1979
PB1,2228,2256
PB1,164,1978
PB1,199,2129
PB1,139,2177
PB1,2194,2259
PA,167,259
PB1,44,1996
PB1,132,2139
PB1,328,2030
PB2,186,2224
PB2,97,122
PA,1950,1990
PB2,178,2159
PB1,241,2204
PA,120,1844
PB1,167,2105
PB1,97,2158
PB2,163,217
PB2,127,2095
PB1,58,129
PB1,133,2130
PB2,152,2152
PB2,179,2138
PA,99,1927
PB1,2110,2166
PB1,126,149
PA,208,1952
PB1,66,120
PB1,97,158
PA,441,1747
PB1,97,2165
PB1,192,2177
PB2,322,1974
PB1,174,2110
PA,146,1948
PB1,199,2141
PB1,148,175
PA,342,1937
PB2,2074,2152
PB2,215,2109
PA,140,2087
PB2,2171,2196
PA,245,1948
PB1,59,2109
PB1,254,2009
PA,124,1879
PB1,183,2129
PB1,68,96
PB1,45,69
PB1,164,2141
PA,129,1959
PB1,2093,2149
PB1,66,96
PA,125,1941
PB1,56,2096
PB1,192,2186
PB1,195,2129
PB2,128,184
PB2,161,2077
PB1,157,2177
PA,245,319
PA,171,1960
PB2,2132,2160
PA,1985,2027
PB1,132,2177
NA,591,999
PB1,163,2080
PB2,109,131
PB2,264,2199
PB2,191,2003
PA,390,1866
PB1,2220,2245
PB1,162,2186
PB1,141,2166
PA,187,2027
PB1,163,2072
PA,128,1947
PB2,107,209
PA,234,1901
PB2,224,2138
PB1,165,1996
PB1,210,2051
PB1,213,1988
PB1,321,1989
PA,146,1974
PB2,201,2139
PB1,162,2115
PB1,197,2032
PA,297,1873
PB1,2079,2164
PA,164,1985
PB2,208,2061
PB1,116,2142
PB1,2079,2109
PA,249,1992
PB2,117,192
PB2,276,2151
PB1,113,2158
PB2,217,2139
PB2,128,2139
PB1,195,2141
PB1,113,2061
PA,258,1879
PB1,154,2141
PB1,1988,2111
PA,1867,1967
PA,2040,2074
PA,138,1984
NP,179,1231
PA,135,1974
PB1,77,2111
PA,164,2028
PA,124,1940
PA,258,2012
PB2,109,164
PB2,224,2194
PB1,193,1984
PB1,54,1988
PB1,149,2055
PB1,375,1897
PB1,162,2011
PB2,217,2007
PB2,110,2108
PB1,279,1988
PB1,148,2061
PB1,261,2071
PB2,91,2004
PB1,289,1989
PB2,183,2067
PB2,187,2102
PB1,339,2092
PA,139,2084
PB1,2110,2138
PB2,216,2139
PB1,183,1988
PA,179,1960
PB1,154,2016
PB2,167,2155
PB1,136,2113
PB1,270,2159
PA,120,248
PB2,216,2080
PA,163,1990
PA,142,1974
PB2,185,216
PB1,270,2038
PB2,159,2139
PB2,198,2140
PA,137,1916
PB2,215,2199
PB1,195,2110
PB2,152,2135
PA,353,1797
PB1,167,2054
PA,86,261
PB1,808,2129
PB1,113,2094
PB1,163,2017
PB1,2084,2177
PB1,132,2165
PB1,218,2158
PB2,159,217
PB1,240,2129
PA,234,2042
PB1,148,196
PB1,338,1978
PA,187,1948
PA,1983,2011
PB1,164,2132
PA,110,1960
PB1,140,2072
PB1,346,1829
PB1,346,2094
PA,124,1937
PB2,90,144
PB1,241,2055
PA,156,2034
PB1,157,2071
PA,149,183
PB1,183,214
PA,146,1978
PB1,269,1986
PA,179,1903
PA,133,1991
PB1,162,2177
PB1,233,1821
PB1,119,200
PB1,189,2080
PA,138,2011
PA,1978,2168
PB2,108,2085
PB1,59,82
PB2,186,2096
PA,249,1875
PB1,461,1885
PB1,197,2129
PB1,164,2094
PB2,471,1816
PB1,95,140
PB1,47,151
PA,132,1951
PA,207,1990
PB1,78,2129
PB1,53,100
PB2,199,2102
PB1,68,133
PB1,2110,2178
PA,164,1946
PA,121,189
PB1,195,347
PB1,114,2072
PB2,152,2153
PB1,96,2072
PB1,213,2056
PB2,2131,2212
PB1,138,2092
PB1,200,2072
PA,277,1852
PB1,78,175
PB2,253,2182
PB2,208,2114
PB1,54,2054
PA,234,2011
PB1,192,2071
PB1,270,2055
PB1,136,2166
PB1,113,2110
PB1,119,2132
PB2,84,2006
PA,541,1543
PB2,130,2139
PA,146,195
PA,189,2026
PB2,82,144
PA,125,1987
PA,248,1938
PB2,266,2004
PB1,63,96
PA,294,2027
PA,258,1990
PB1,76,2139
PA,239,2018
PB1,54,171
PB1,148,2086
PB1,96,166
PB2,184,2153
PB2,119,2197
PB1,213,2110
PB2,158,2140
PB2,127,2098
PB2,190,2140
PA,171,1986
PA,84,1974
PB1,154,2177
PA,211,263
PB1,162,2143
PB1,199,1988
PB1,269,2061
PB2,318,2123
PB2,199,1975
PA,129,1999
PB1,148,280
PB2,117,153
PB2,224,2202
PA,138,180
PA,2041,2063
PA,167,1993
PB2,116,2077
PA,303,1836
PA,154,1930
PB2,173,2039
PB1,346,2129
PA,352,1880
PA,234,1937
PB1,193,2086
PA,359,2011
PB2,112,2142
PA,126,1747
PA,204,1945
PB1,84,165
PB1,148,2056
PB1,162,2158
PB1,288,2071
PB1,2084,2139
PB1,54,86
PB1,146,168
PA,184,1986
PA,136,196
PA,297,1789
PB1,194,2102
PB1,270,2111
PB2,156,2156
PB1,199,298
PB2,118,2153
PB1,68,140
PB2,159,2203
PB2,263,2136
PB1,219,2062
PB1,373,1755
PB2,130,2152
PA,167,1929
PA,163,2012
PA,245,1990
PA,370,1808
PA,350,1959
PB1,63,2054
PA,167,229
PA,344,2065
PB2,163,2139
PA,245,1986
PB2,190,2100
PB1,162,2132
PA,246,2064
PB2,191,2048
PB1,175,2130
PB1,328,1942
PB2,122,218
PB1,199,2132
PB2,157,2066
PB2,88,192
PB1,289,1972
PB2,264,2176
PB1,162,1995
PB2,204,2195
PB1,167,2094
PA,247,1984
PB1,161,2092
PB1,133,2050
PA,120,1906
PB2,185,2170
PA,1979,2029
PA,123,2064
PB2,258,2006
PB1,279,2139
PA,120,2002
PB1,140,2017
PB1,223,1988
PA,194,2027
PA,1973,2063
PA,131,2074
PA,171,195
PB2,2171,2204
PA,277,305
PB1,195,2158
PB1,223,2129
PB2,191,2065
PB1,240,270
PB1,346,2054
PB1,242,2073
PB1,132,2091
PA,159,1977
PA,156,195
PB2,216,2012
PB2,199,2083
PA,122,1990
PB2,217,1976
PB1,130,2129
PB1,184,2062
PA,146,1967
PB1,137,2132
PB1,54,2129
PB1,195,2165
PB1,68,171
PA,167,1873
PA,1972,2005
PA,179,1868
PA,245,1974
PA,277,1996
PB1,241,2092
PB1,170,2056
PA,301,1832
PB2,130,2026
PB1,328,1949
PB1,1970,2016
PB1,423,2054
PB1,210,2056
PB2,191,2006
PB2,121,144
PB1,126,2177
PB1,162,2105
PB1,163,2166
PA,146,185
PA,138,1916
PB1,290,2112
PB2,252,2204
PB2,225,2096
PB2,138,2139
PB2,2047,2139
PA,164,1961
PB2,265,1969
PB1,261,2129
PB1,431,1858
PB1,240,2132
PA,167,1964
PB2,121,153
PA,156,1940
PB2,191,2061
PA,168,2028
PB1,193,2106
PB1,213,2094
PB1,223,2139
PB1,148,2105
PA,120,180
PB2,201,1937
PB1,185,2130
PA,146,259
PB1,190,2129
PA,126,1953
PB1,259,2015
PB1,126,2165
PA,90,125
PB1,196,2106
PB1,113,2129
PB1,137,2141
PB1,192,2149
PB1,96,2159
PA,776,1454
PA,294,1868
PB1,199,2010
PB2,204,2152
PA,120,185
PB1,198,2080
PA,184,1964
PA,179,2034
PB1,289,2166
PB1,120,2111
PA,85,2012
PA,207,1984
PB2,199,2003
PB2,203,2140
PB1,288,1901
PB1,346,783
PB1,164,2014
PB2,192,2041
PB1,2093,2129
PB1,171,2140
PA,301,2027
PB1,2230,2259
PB1,133,2150
PB1,218,2129
PB1,114,150
PB2,138,2135
PB1,2138,2230
PB1,120,1927
PA,213,1789
PB1,288,1969
PB2,166,2135
PA,120,1916
PB1,1948,1971
PB2,154,2056
PA,122,1844
PB1,63,98
PB1,375,2129
PA,134,2074
PB1,164,2063
PB1,213,2085
PB1,54,2071
PB1,148,2132
PB1,157,2146
PB1,54,200
PA,1936,1974
PB1,328,2016
PA,179,1948
PA,120,2063
PA,139,1887
PB1,947,2177
PB1,375,1988
PB1,188,2201
PB2,121,2139
PB1,73,102
PB1,139,2110
PB2,128,2123
PB2,201,2152
PB1,269,2056
PB1,137,2056
PB1,381,1949
PB1,138,2247
PA,1984,2064
PB1,132,163
PB1,262,2062
PB2,258,2195
PA,120,143
PA,171,1978
PB1,288,2056
PB1,102,2024
PB2,217,2160
PA,138,1964
PB2,204,2139
PA,297,1808
PB1,2220,2257
NS1,219,641
PB2,134,2140
PB2,276,1968
PB2,163,2156
PB1,167,2061
PA,354,378
PB1,193,2031
PA,120,168
PB2,128,164
PB2,177,2042
PA,137,2074
PA,297,2027
PB1,149,2140
PA,157,1946
PB1,95,198
PA,122,185
PB1,338,2165
PB1,2055,2110
PB1,269,2091
PA,140,166
PB1,175,2080
PA,358,1813
PB1,192,1995
PA,233,2074
PB2,191,2164
PB2,116,2140
PB1,167,2177
PB1,143,2128
PB1,166,2074
PA,138,2002
PB2,200,2165
PB1,161,2102
PB1,2084,2165
PB1,140,2140
PB2,448,2159
PA,127,165
PB1,162,2165
PB2,371,2195
PB1,376,1822
PB2,151,2139
PB1,269,2203
PA,295,1991
PB1,157,2165
PA,2011,2063
PB1,89,2011
PB2,127,2077
PB2,150,2140
PB2,189,252
PB1,162,2035
PB2,173,2162
PB1,164,2091
PA,247,1951
PB2,109,152
PB1,328,2056
PA,163,2011
PB1,169,2099
PB1,2202,2230
PA,146,2011
PB1,46,115
PB1,166,2160
PB2,183,2164
PB1,1882,1908
PB2,198,2206
PA,138,188
PB2,295,1975
PA,146,168
PB2,300,2004
PB1,197,2061
PA,1985,2012
PB1,397,2058
PB2,390,2195
PB1,59,84
PA,138,2042
PB1,192,1897
PB1,137,165
PB2,2053,2160
PB1,372,1950
PB1,46,139
PB1,163,2113
PB1,183,2158
PB1,200,2140
PB1,195,289
PB1,2147,2169
PA,187,1978
PA,167,1994
PA,157,1857
PA,247,1879
PB1,199,224
PB2,210,2154
PB2,2132,2196
PB1,288,2085
PB1,68,1971
PA,258,2027
PB1,240,2158
HA,93,1460
PB1,199,2165
PA,376,1745
PB1,2157,2186
PA,135,1990
PB2,128,2203
PB1,261,2141
PB1,68,2110
PA,164,1979
PA,256,1877
PB1,2053,2141
PB2,128,2182
PB1,137,2143
PA,295,1874
PB2,155,2140
PA,94,1856
PA,1944,2042
PB1,195,2177
PA,184,2056
PA,122,2011
PB2,109,2135
PB2,110,2157
PB1,154,2129
PB2,201,2003
PA,120,1974
PB2,215,2080
PB1,59,170
PB1,2137,2166
PA,140,1846
PB1,98,141
PB2,185,2205
PA,132,2083
PB1,674,1595
PB2,152,1975
PA,132,1960
PB2,94,122
PB2,191,217
PA,234,1974
PB1,328,2139
PB1,54,125
PB1,2055,2129
PB1,2109,2149
PB2,217,2153
PB1,114,2147
PB1,136,2014
PA,301,1745
PB1,148,2158
PB1,1987,2061
PB1,2060,2129
PA,146,1986
PB1,142,2139
PB1,199,2177
PA,84,2027
PB1,953,1389
PA,123,148
PA,247,2027
PB2,216,2067
PA,167,1951
PA,138,2063
PB1,54,103
PB2,216,2040
PB2,961,2065
PB1,2060,2091
PB2,153,219
PB1,340,1908
PB2,132,2152
PA,136,1948
PA,171,1951
PB2,163,2107
PB2,216,1969
PA,167,1967
PA,135,1877
PB2,179,2151
PB1,142,2132
PB1,119,2054
PB2,160,201
PA,207,2012
PB1,213,2230
PA,245,1873
NP,223,1200
PA,84,172
PB1,68,114
PB1,200,1970
PB1,214,2015
PB2,258,2152
PA,138,1967
PA,157,1979
PB1,218,1988
PA,120,1879
PA,167,1987
PB1,184,2165
PB1,114,2017
PB1,192,2091
PB1,1212,2139
PB1,139,2165
PB1,137,2037
PB1,170,2177
PB1,68,2129
PA,84,139
PB1,347,1996
PA,184,1951
PB1,240,2077
PA,294,1794
PA,120,1984
PA,122,1945
PB1,132,2085
PB1,55,1188
PB1,76,127
PA,245,1868
PB1,192,2141
PB1,288,2129
PA,145,2024
PB1,1212,2141
PB1,1970,2011
PB1,245,2191
PA,135,172
PB1,2070,2129
PB1,162,2230
PB1,157,2137
PB2,202,2133
PB2,159,2114
PA,167,2017
PB2,191,2159
PA,139,1949
PB1,119,168
PA,120,2027
PB2,190,1939
PB1,375,1928
PB1,375,1949
PB1,46,68
PA,82,2012
PA,235,1867
PB1,164,2061
PA,295,320
PB1,190,2061
PA,85,1952
PB2,161,2026
PA,146,2027
PB1,132,2094
PB2,2124,2196
PB2,252,2212
PA,149,1963
PB2,210,2133
PB1,97,2110
PA,139,2028
PB2,193,2158
PB1,2176,2203
PB1,150,2018
PB2,91,123
PA,234,1986
PA,156,1984
PA,186,2019
PB2,159,2156
HA,208,1534
PB1,148,1897
PA,85,2015
PB1,165,2166
PA,234,1990
PB1,183,2110
PB1,194,1989
PB1,63,114
PA,157,2028
PB1,137,1971
PA,178,1924
PB2,184,2152
PB1,354,1916
PA,164,1991
PB1,347,1972
PA,137,2068
PB2,119,2161
PB1,119,2091
PA,258,1929
PA,156,2011
PB1,164,2085
PA,258,319
PB1,240,2061
PA,316,1844
PB2,223,2242
PB1,383,1831
PA,127,1871
PB1,261,2110
PB1,183,2037
PB1,196,2037
PB1,167,2085
PA,140,1881
PB1,139,2085
PB1,132,2158
PB2,117,2107
PB1,218,2014
PB2,208,2107
PA,129,2026
PB1,235,2201
PB1,2070,2177
PA,179,1974
PB2,108,2088
PB1,154,2071
M,175,907
PA,89,2042
PB1,76,2129
PA,156,1948
PB2,1968,2203
PA,142,1960
PA,171,2017
PB1,192,2139
PB1,192,1969
PA,1989,2063
PA,82,1893
PA,461,1745
PB1,269,1901
HA,126,1560
PB2,259,1994
PB1,132,2054
PB1,54,105
PB1,154,2091
PA,2009,2074
PB1,54,133
PB2,88,118
PB1,157,2056
PB2,163,1969
PB1,2109,2139
PB1,148,2110
PB1,162,2141
PB2,203,2085
PA,245,1951
PA,297,1844
PB1,127,2133
PA,135,1984
PB1,269,2071
PB1,194,2099
PA,134,1934
PB1,155,2116
PA,234,1745
PA,82,172
PA,146,2012
PB1,197,1930
PB1,126,2158
PB1,214,2017
PB1,174,1986
PA,187,1945
PA,179,1964
PB1,238,2168
PA,304,1873
PB1,170,2110
PB1,2085,2141
PB1,193,2110
PB1,280,2130
PB1,331,2113
PB2,120,2140
PB1,195,1995
PB2,122,153
PB1,231,2053
PA,171,1974
PB1,160,2129
PB1,225,2072
PB2,90,129
PB2,208,2160
PB1,164,1949
PA,294,1789
NS1,238,834
PA,142,195
PB2,195,2098
PB2,129,2176
PA,1947,2027
PB2,156,2139
PA,156,1986
PA,167,1948
PB1,192,2132
PB1,195,2024
PB1,173,2005
PB2,121,164
PA,135,1929
PB1,272,1900
PB2,258,1975
PB1,215,2093
PB2,117,2156
PB2,117,200
PB1,157,2085
PA,138,1948
PB2,922,2211
PA,2040,2068
PA,259,1833
PB1,195,2016
PB2,90,131
PA,305,1809
PB1,137,1091
PB1,205,2056
PB2,163,1975
PB2,191,2123
PB2,92,116
PB1,190,2110
PA,208,1987
PA,234,1945
PB1,223,1897
PA,167,2012
PB2,266,1976
PA,180,1985
PA,184,1990
PB1,218,2071
PB1,220,2194
PB2,135,2139
PB1,162,2063
PB1,195,2139
PB2,236,1945
PB1,113,2149
PA,191,1960
PA,234,1873
PB1,119,2094
PB1,271,1960
PA,294,1832
PB1,2070,2110
PB1,218,2091
PB2,2129,2152
PB1,205,2045
PB2,172,2138
PB2,108,165
PA,132,1978
PB1,145,2168
PB2,148,2139
NP,234,1308
PA,247,1960
PB1,147,2102
PB1,195,2079
PB1,130,2149
PB1,1965,2139
PB1,269,2149
PB1,76,149
PB1,95,2054
PB1,2229,2270
PA,187,1984
PB1,279,2054
PA,2001,2027
PB1,157,2110
PB1,204,2110
PA,168,1975
PB1,2053,2082
PA,117,143
PB2,128,2159
PB1,213,2008
PB1,139,2061
PB1,147,2080
PB2,295,1953
PB1,97,127
PB2,90,192
PA,124,1948
PA,135,1978
PA,245,1960
PA,167,2002
PB1,55,1950
PA,146,1844
PB1,1124,2071
PB1,170,2129
PA,228,1960
PB1,337,1897
PB1,288,2014
PB1,113,1995
PB1,180,2058
PB1,233,2068
PB1,136,2080
PB1,137,1185
PB1,148,2137
PB2,135,209
PB1,76,114
PA,194,1948
PB2,252,1976
PA,84,123
PB1,2109,2132
PB1,70,2037
PA,248,1949
PB1,143,2159
PB1,346,2014
PB1,113,2162
PA,205,1952
PB1,126,2016
PB1,465,2165
PB2,269,2202
PB2,258,1969
PB1,288,2091
PA,124,1990
PB2,152,2195
PA,1878,1937
PA,245,1945
PA,171,1987
PB1,195,2071
PB1,383,2199
PB2,328,1709
PB1,54,138
PB1,96,2166
HA,189,1532
PB2,121,2083
PB2,199,2203
PB2,163,2195
PB1,376,2017
PB2,176,2202
PA,245,1937
PA,232,1966
PB1,167,2158
PB1,376,1912
PA,138,1928
PB2,189,2236
PB1,120,2159
PB2,182,2140
PB2,143,2152
PB1,141,2074
PA,121,2012
PB2,108,2140
PA,172,2003
PA,188,1952
PB1,2055,2141
PB1,164,2139
PB2,259,2150
PB2,204,2159
PA,268,2023
PB2,152,2139
PB1,98,2140
PB2,163,209
PB1,195,2014
PB1,87,2063
PA,124,2027
PB2,120,2080
PB2,117,1969
PB2,152,217
PA,156,1964
PB2,240,2205
PB1,265,2013
PA,120,157
PB2,258,2012
PA,165,1976
PB1,110,2128
PA,142,1990
PB1,213,2132
PB1,126,1988
PB2,206,2152
PB1,67,99
PB2,111,169
PA,95,1948
PB1,220,2093
PB2,133,2140
PB1,200,2055
PB1,132,200
PA,124,185
PB2,2053,2153
PB2,194,2176
PB1,271,1990
PA,1788,1868
PA,171,1922
PA,164,2026
PA,173,1992
PB1,375,2177
PA,138,1866
PB1,261,2165
PB2,159,2040
PB1,59,95
PB2,117,2114
PA,132,1974
PB1,55,811
PB1,97,2177
PA,1885,2016
PB1,2010,2129
PA,294,1724
PB2,198,2137
PB2,246,2172
PA,1983,2027
PB2,117,2139
PA,294,1951
PA,1949,2074
PB1,56,2119
PB2,159,2152
PA,83,2064
PA,301,1866
PA,125,2012
PB1,2164,2203
PB2,128,2152
PB1,169,2151
PA,234,1906
PB2,91,119
PB1,157,2139
PB1,198,2113
PA,302,1991
PB2,191,2211
PA,1944,2015
PA,208,2012
PB2,252,1983
PB1,184,214
PB1,157,2158
PA,245,2011
PB1,167,2037
PB1,338,2129
PB1,224,2129
PB2,224,2151
PB1,2091,2140
PB2,2123,2153
PB1,2053,2132
PB1,328,2094
PA,194,1990
PB1,139,2129
PB1,137,2105
PB1,137,2085
PA,145,2074
PB1,57,1985
PB1,137,2162
PB1,1968,2110
PB1,376,2092
PB1,213,2061
PA,142,2027
PA,303,1856
PA,301,1850
PB1,199,2105
PB1,2202,2239
PB1,200,2084
PA,234,1844
PA,165,1846
PB2,118,150
PB2,163,2164
PB1,196,225
PB1,164,2016
PB1,164,2077
PB2,2131,2156
PB1,139,2158
PB1,95,2129
PB2,127,2140
PB1,127,2130
PB2,159,2006
PB1,196,2057
PB2,198,2100
PA,301,1844
PB1,224,2110
PB1,76,2061
PB2,179,2202
PA,410,1717
PA,82,2027
PA,131,2021
PB1,404,1949
PA,163,1951
PB2,191,2058
PB1,2128,2177
PB1,201,2109
PB1,299,2030
PA,167,1986
PA,234,259
PB2,198,2095
PA,207,1974
PA,176,1930
PB2,139,2139
PB1,57,79
PB1,356,1513
PB1,54,114
PA,245,1879
PB1,148,2129
PB1,160,2110
PA,206,2074
PB1,2070,2165
PB1,240,2141
PA,361,1692
PA,122,195
PA,119,2074
PA,122,1948
PB1,2086,2129
PB2,190,2161
PB2,141,2139
PB1,162,2056
PA,1959,2012
PB2,163,192
PB1,113,2132
PB1,192,2016
PB1,95,133
PB1,174,2061
PB1,1883,1995
PB2,124,180
PA,184,2063
PA,138,1951
PB1,192,2158
PB2,258,2203
PB1,240,2037
PB2,115,2012
PB1,165,2178
HA,123,1491
PA,138,195
PB2,217,2196
PB1,224,2086
PB1,183,1998
PB1,59,97
PB1,76,98
PB1,2138,2165
PB1,156,2099
PB2,116,2100
PA,245,1929
PB1,187,2109
PA,234,2014
PA,91,1917
PB2,210,2008
PB2,175,200
PB1,240,2110
PA,248,2035
PB1,2079,2128
PB2,152,376
PB1,63,85
PB1,132,2110
