,key,Start,End,segment,PN6,PN7,PN8,PN9,PN13,PN14,PN15,PN16,PN17,PN22,PN24,PN25,PN31,PN32,PN33,PN38,PN40,PN41,PN42,PN45,PN46,PN47,PN48,sum_reads,classification,max_diff,slope,rank,cluster
15068,PB1_162_2110,162,2110,PB1,46.0,263.0,206.0,301.0,227.0,262.0,232.0,392.0,172.0,125.0,66.0,99.0,54.0,71.0,134.0,114.0,70.0,56.0,66.0,86.0,65.0,79.0,22.0,3208.0,loss,24.0,-9.498023715415021,448.5,1.0
13865,PB1_137_2094,137,2094,PB1,22.0,10.0,12.0,23.0,22.0,28.0,13.0,25.0,9.0,10.0,0.0,3.0,6.0,12.0,3.0,5.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0,213.0,loss,22.0,-1.024703557312253,511.5,4.0
23914,PB1_54_171,54,171,PB1,20.0,162.0,117.0,202.0,87.0,168.0,179.0,113.0,89.0,82.0,23.0,25.0,7.0,17.0,20.0,23.0,14.0,5.0,1.0,10.0,7.0,1.0,0.0,1372.0,loss,20.0,-7.385375494071144,588.5,1.0
24014,PB1_54_98,54,98,PB1,50.0,312.0,210.0,360.0,255.0,311.0,217.0,279.0,197.0,99.0,31.0,121.0,79.0,49.0,179.0,160.0,89.0,39.0,102.0,156.0,59.0,86.0,30.0,3470.0,loss,20.0,-9.284584980237154,588.5,1.0
17076,PB1_195_2110,195,2110,PB1,32.0,208.0,165.0,300.0,207.0,244.0,209.0,297.0,209.0,88.0,51.0,108.0,123.0,94.0,92.0,90.0,99.0,28.0,23.0,97.0,20.0,52.0,13.0,2849.0,loss,19.0,-8.821146245059289,644.5,1.0
23970,PB1_54_2110,54,2110,PB1,47.0,200.0,182.0,191.0,146.0,184.0,147.0,182.0,172.0,74.0,63.0,149.0,60.0,109.0,151.0,86.0,78.0,34.0,78.0,119.0,71.0,59.0,29.0,2611.0,loss,18.0,-5.221343873517786,710.0,2.0
18857,PB1_2140_2165,2140,2165,PB1,17.0,17.0,5.0,10.0,12.0,10.0,20.0,17.0,9.0,7.0,5.0,4.0,4.0,10.0,2.0,5.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,167.0,loss,17.0,-0.6768774703557312,781.5,4.0
14496,PB1_149_201,149,201,PB1,18.0,78.0,80.0,96.0,96.0,85.0,64.0,117.0,55.0,34.0,5.0,42.0,24.0,18.0,32.0,21.0,22.0,3.0,6.0,18.0,8.0,17.0,1.0,940.0,loss,17.0,-3.8211462450592877,781.5,3.0
13884,PB1_137_2149,137,2149,PB1,16.0,9.0,6.0,29.0,37.0,24.0,22.0,19.0,31.0,1.0,0.0,11.0,4.0,6.0,1.0,0.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,228.0,loss,16.0,-1.124505928853755,860.0,4.0
15087,PB1_162_2165,162,2165,PB1,25.0,145.0,173.0,230.0,190.0,295.0,199.0,286.0,192.0,83.0,30.0,54.0,45.0,53.0,44.0,57.0,32.0,7.0,27.0,25.0,18.0,6.0,9.0,2225.0,loss,16.0,-9.594861660079049,860.0,1.0
23381,PB1_45_96,45,96,PB1,15.0,8.0,16.0,21.0,23.0,29.0,23.0,3.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,6.0,11.0,0.0,164.0,loss,15.0,-0.83498023715415,955.5,4.0
13010,PB1_114_201,114,201,PB1,14.0,5.0,4.0,3.0,4.0,5.0,1.0,6.0,6.0,6.0,2.0,0.0,5.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,loss,14.0,-0.34881422924901184,1078.5,4.0
24199,PB1_56_2232,56,2232,PB1,18.0,12.0,12.0,5.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,3.0,6.0,1.0,7.0,4.0,86.0,loss,14.0,-0.2598814229249012,1078.5,4.0
13390,PB1_126_2110,126,2110,PB1,16.0,130.0,114.0,147.0,102.0,142.0,98.0,74.0,48.0,36.0,29.0,37.0,11.0,32.0,42.0,22.0,7.0,2.0,10.0,33.0,4.0,8.0,2.0,1146.0,loss,14.0,-5.402173913043478,1078.5,2.0
15082,PB1_162_2149,162,2149,PB1,14.0,33.0,14.0,41.0,19.0,21.0,21.0,40.0,14.0,16.0,9.0,5.0,8.0,0.0,4.0,0.0,19.0,3.0,8.0,8.0,2.0,7.0,0.0,306.0,loss,14.0,-1.1897233201581028,1078.5,4.0
19222,PB1_2202_2258,2202,2258,PB1,13.0,2.0,5.0,9.0,4.0,10.0,4.0,5.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,80.0,loss,13.0,-0.3843873517786561,1224.5,4.0
19286,PB1_2227_2258,2227,2258,PB1,13.0,0.0,1.0,5.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,loss,13.0,-0.1729249011857708,1224.5,4.0
14297,PB1_146_2129,146,2129,PB1,34.0,177.0,164.0,257.0,221.0,301.0,208.0,388.0,254.0,132.0,49.0,109.0,94.0,93.0,236.0,174.0,120.0,34.0,65.0,173.0,105.0,114.0,22.0,3524.0,loss,12.0,-5.970355731225297,1393.0,1.0
13022,PB1_114_2204,114,2204,PB1,11.0,0.0,6.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,loss,11.0,-0.21541501976284583,1606.0,4.0
19288,PB1_2228_2256,2228,2256,PB1,14.0,16.0,3.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,43.0,loss,11.0,-0.35474308300395263,1606.0,4.0
13148,PB1_119_2132,119,2132,PB1,11.0,2.0,6.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,28.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,loss,11.0,-0.14525691699604742,1606.0,4.0
14816,PB1_157_2258,157,2258,PB1,11.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,loss,11.0,-0.15810276679841898,1606.0,4.0
12989,PB1_113_2258,113,2258,PB1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,loss,10.0,-0.10869565217391304,1882.5,4.0
13886,PB1_137_2158,137,2158,PB1,13.0,78.0,93.0,130.0,61.0,111.0,60.0,114.0,75.0,47.0,9.0,49.0,51.0,27.0,47.0,16.0,4.0,15.0,10.0,32.0,6.0,44.0,3.0,1095.0,loss,10.0,-3.660079051383399,1882.5,3.0
12981,PB1_113_2177,113,2177,PB1,10.0,14.0,14.0,22.0,13.0,17.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,8.0,0.0,1.0,4.0,17.0,8.0,1.0,0.0,137.0,loss,10.0,-0.4614624505928854,1882.5,4.0
16689,PB1_192_2110,192,2110,PB1,16.0,81.0,88.0,122.0,98.0,144.0,77.0,135.0,76.0,42.0,14.0,26.0,32.0,28.0,43.0,39.0,49.0,5.0,27.0,25.0,9.0,15.0,6.0,1197.0,loss,10.0,-4.170948616600791,1882.5,3.0
16837,PB1_193_2259,193,2259,PB1,10.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,20.0,loss,10.0,-0.08695652173913043,1882.5,4.0
13772,PB1_136_2166,136,2166,PB1,10.0,61.0,25.0,64.0,44.0,82.0,74.0,50.0,35.0,11.0,0.0,0.0,13.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,479.0,loss,10.0,-2.840909090909091,1882.5,4.0
19783,PB1_240_2110,240,2110,PB1,12.0,33.0,46.0,51.0,31.0,58.0,48.0,85.0,27.0,8.0,3.0,41.0,8.0,36.0,17.0,28.0,4.0,8.0,11.0,27.0,13.0,11.0,2.0,608.0,loss,10.0,-1.6561264822134385,1882.5,4.0
23236,PB1_447_1725,447,1725,PB1,10.0,83.0,28.0,69.0,20.0,18.0,28.0,10.0,22.0,10.0,2.0,5.0,3.0,0.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,319.0,loss,10.0,-2.1867588932806323,1882.5,4.0
17049,PB1_195_2016,195,2016,PB1,10.0,12.0,12.0,19.0,22.0,36.0,15.0,39.0,17.0,14.0,6.0,8.0,2.0,9.0,3.0,11.0,1.0,6.0,13.0,21.0,9.0,12.0,0.0,297.0,loss,10.0,-0.5948616600790514,1882.5,4.0
21669,PB1_338_2129,338,2129,PB1,10.0,2.0,5.0,17.0,8.0,8.0,3.0,4.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,84.0,loss,10.0,-0.3913043478260869,1882.5,4.0
13887,PB1_137_2162,137,2162,PB1,10.0,6.0,7.0,15.0,11.0,12.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,79.0,loss,10.0,-0.5306324110671935,1882.5,4.0
12953,PB1_113_2061,113,2061,PB1,10.0,5.0,4.0,5.0,7.0,6.0,21.0,8.0,16.0,1.0,0.0,6.0,0.0,0.0,6.0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,105.0,loss,10.0,-0.4239130434782608,1882.5,4.0
23979,PB1_54_2165,54,2165,PB1,9.0,6.0,1.0,1.0,2.0,0.0,5.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,loss,9.0,-0.1739130434782609,2239.5,4.0
23525,PB1_47_100,47,100,PB1,13.0,12.0,2.0,11.0,5.0,6.0,7.0,13.0,13.0,7.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,109.0,loss,9.0,-0.49209486166007904,2239.5,4.0
17604,PB1_199_2177,199,2177,PB1,11.0,5.0,13.0,50.0,9.0,13.0,17.0,48.0,27.0,16.0,4.0,19.0,2.0,7.0,8.0,4.0,9.0,1.0,2.0,1.0,0.0,1.0,2.0,269.0,loss,9.0,-1.0494071146245056,2239.5,4.0
25164,PB1_78_2071,78,2071,PB1,9.0,1.0,8.0,3.0,6.0,0.0,12.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,loss,9.0,-0.33498023715415015,2239.5,4.0
14254,PB1_145_2168,145,2168,PB1,11.0,19.0,13.0,11.0,5.0,28.0,18.0,5.0,4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,131.0,loss,9.0,-0.7559288537549407,2239.5,4.0
23501,PB1_46_2092,46,2092,PB1,8.0,2.0,4.0,5.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,43.0,loss,8.0,-0.18972332015810275,2730.0,4.0
15141,PB1_163_2092,163,2092,PB1,14.0,83.0,44.0,88.0,66.0,96.0,96.0,113.0,68.0,34.0,5.0,28.0,34.0,17.0,40.0,35.0,26.0,20.0,22.0,28.0,17.0,20.0,6.0,1000.0,loss,8.0,-2.9209486166007905,2730.0,4.0
17456,PB1_198_2080,198,2080,PB1,8.0,22.0,17.0,57.0,32.0,35.0,21.0,34.0,38.0,10.0,7.0,2.0,5.0,27.0,9.0,2.0,2.0,3.0,5.0,26.0,0.0,16.0,0.0,378.0,loss,8.0,-1.1936758893280635,2730.0,4.0
24550,PB1_63_98,63,98,PB1,11.0,39.0,13.0,35.0,24.0,39.0,32.0,29.0,11.0,3.0,6.0,41.0,28.0,7.0,8.0,7.0,0.0,1.0,18.0,1.0,6.0,0.0,3.0,362.0,loss,8.0,-1.2944664031620552,2730.0,4.0
25063,PB1_76_2230,76,2230,PB1,8.0,5.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,24.0,loss,8.0,-0.1600790513833992,2730.0,4.0
15197,PB1_164_2016,164,2016,PB1,8.0,35.0,12.0,49.0,28.0,59.0,71.0,23.0,30.0,7.0,0.0,7.0,5.0,5.0,15.0,10.0,9.0,0.0,4.0,9.0,8.0,21.0,0.0,415.0,loss,8.0,-1.4940711462450593,2730.0,4.0
18806,PB1_213_2045,213,2045,PB1,8.0,50.0,33.0,82.0,79.0,50.0,64.0,86.0,73.0,47.0,34.0,30.0,18.0,23.0,44.0,28.0,11.0,7.0,10.0,19.0,13.0,4.0,0.0,813.0,loss,8.0,-2.589920948616601,2730.0,4.0
15748,PB1_1754_1860,1754,1860,PB1,8.0,135.0,48.0,90.0,27.0,35.0,35.0,7.0,32.0,13.0,2.0,11.0,5.0,0.0,9.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,462.0,loss,8.0,-3.216403162055336,2730.0,4.0
19028,PB1_2176_2234,2176,2234,PB1,8.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,loss,8.0,-0.13537549407114624,2730.0,4.0
23504,PB1_46_68,46,68,PB1,8.0,19.0,31.0,11.0,14.0,12.0,18.0,11.0,10.0,6.0,3.0,5.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,158.0,loss,8.0,-0.940711462450593,2730.0,4.0
22653,PB1_381_2230,381,2230,PB1,8.0,0.0,0.0,6.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,loss,8.0,-0.16897233201581027,2730.0,4.0
15472,PB1_1688_2258,1688,2258,PB1,8.0,12.0,4.0,2.0,2.0,0.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,loss,8.0,-0.3586956521739131,2730.0,4.0
16664,PB1_192_2016,192,2016,PB1,8.0,14.0,8.0,25.0,15.0,15.0,16.0,30.0,22.0,10.0,3.0,16.0,14.0,14.0,23.0,13.0,19.0,10.0,6.0,30.0,5.0,5.0,0.0,321.0,loss,8.0,-0.2855731225296443,2730.0,4.0
25535,PB1_95_2141,95,2141,PB1,7.0,8.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,30.0,loss,7.0,-0.1600790513833992,3413.5,4.0
23358,PB1_45_2095,45,2095,PB1,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,loss,7.0,-0.15513833992094858,3413.5,4.0
14471,PB1_148_224,148,224,PB1,8.0,3.0,4.0,1.0,6.0,0.0,2.0,9.0,4.0,6.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,54.0,loss,7.0,-0.2490118577075099,3413.5,4.0
14807,PB1_157_2177,157,2177,PB1,7.0,54.0,58.0,43.0,40.0,71.0,45.0,34.0,32.0,5.0,16.0,7.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,446.0,loss,7.0,-2.518774703557312,3413.5,4.0
13439,PB1_127_2130,127,2130,PB1,9.0,184.0,113.0,227.0,145.0,189.0,104.0,187.0,115.0,60.0,24.0,35.0,39.0,74.0,72.0,42.0,26.0,13.0,14.0,42.0,19.0,24.0,2.0,1759.0,loss,7.0,-6.948616600790515,3413.5,1.0
18577,PB1_2109_2230,2109,2230,PB1,7.0,5.0,5.0,25.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,loss,7.0,-0.3992094861660079,3413.5,4.0
14013,PB1_139_2110,139,2110,PB1,14.0,43.0,26.0,44.0,45.0,73.0,33.0,52.0,19.0,17.0,4.0,27.0,29.0,21.0,24.0,21.0,17.0,9.0,15.0,26.0,14.0,14.0,7.0,594.0,loss,7.0,-1.3527667984189724,3413.5,4.0
17596,PB1_199_2132,199,2132,PB1,7.0,3.0,9.0,19.0,16.0,17.0,6.0,19.0,15.0,4.0,10.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,142.0,loss,7.0,-0.6492094861660079,3413.5,4.0
19825,PB1_241_2204,241,2204,PB1,7.0,60.0,56.0,49.0,51.0,47.0,27.0,35.0,9.0,6.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,364.0,loss,7.0,-2.467391304347826,3413.5,4.0
18581,PB1_2109_2246,2109,2246,PB1,7.0,4.0,2.0,6.0,2.0,5.0,2.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,loss,7.0,-0.2519762845849802,3413.5,4.0
18259,PB1_2070_2110,2070,2110,PB1,7.0,33.0,32.0,67.0,28.0,33.0,13.0,41.0,16.0,20.0,13.0,28.0,6.0,14.0,15.0,3.0,5.0,17.0,13.0,16.0,6.0,8.0,0.0,434.0,loss,7.0,-1.367588932806324,3413.5,4.0
18054,PB1_2053_2110,2053,2110,PB1,7.0,58.0,40.0,81.0,60.0,58.0,43.0,56.0,39.0,35.0,20.0,17.0,29.0,5.0,34.0,23.0,7.0,13.0,11.0,14.0,17.0,4.0,0.0,671.0,loss,7.0,-2.323122529644268,3413.5,4.0
18696,PB1_2128_2177,2128,2177,PB1,7.0,14.0,16.0,19.0,10.0,16.0,4.0,8.0,14.0,0.0,8.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,129.0,loss,7.0,-0.7243083003952567,3413.5,4.0
20512,PB1_279_1858,279,1858,PB1,9.0,40.0,30.0,71.0,49.0,65.0,43.0,120.0,80.0,52.0,16.0,125.0,54.0,54.0,99.0,85.0,88.0,29.0,19.0,72.0,31.0,18.0,2.0,1251.0,loss,7.0,-0.5158102766798419,3413.5,4.0
16118,PB1_184_2110,184,2110,PB1,9.0,16.0,7.0,12.0,15.0,16.0,14.0,34.0,19.0,6.0,0.0,13.0,12.0,7.0,6.0,9.0,10.0,2.0,8.0,6.0,6.0,2.0,2.0,231.0,loss,7.0,-0.5454545454545453,3413.5,4.0
18036,PB1_2052_2107,2052,2107,PB1,6.0,10.0,7.0,11.0,1.0,5.0,9.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,loss,6.0,-0.4199604743083004,4393.5,4.0
13879,PB1_137_2137,137,2137,PB1,6.0,2.0,19.0,14.0,13.0,13.0,13.0,42.0,14.0,9.0,10.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,loss,6.0,-0.8013833992094862,4393.5,4.0
16120,PB1_184_2139,184,2139,PB1,6.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,loss,6.0,-0.09782608695652177,4393.5,4.0
21454,PB1_328_476,328,476,PB1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,loss,6.0,-0.025691699604743087,4393.5,4.0
23990,PB1_54_282,54,282,PB1,6.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,loss,6.0,-0.12944664031620556,4393.5,4.0
13797,PB1_137_165,137,165,PB1,6.0,40.0,13.0,38.0,41.0,29.0,45.0,30.0,21.0,30.0,2.0,14.0,4.0,29.0,6.0,0.0,4.0,6.0,7.0,17.0,1.0,6.0,0.0,389.0,loss,6.0,-1.4110671936758892,4393.5,4.0
13059,PB1_115_2105,115,2105,PB1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,loss,6.0,-0.07114624505928853,4393.5,4.0
17774,PB1_201_2093,201,2093,PB1,32.0,110.0,114.0,262.0,166.0,239.0,214.0,327.0,234.0,134.0,33.0,142.0,113.0,65.0,114.0,95.0,56.0,35.0,101.0,121.0,88.0,78.0,26.0,2899.0,loss,6.0,-5.49703557312253,4393.5,2.0
18201,PB1_2061_2106,2061,2106,PB1,6.0,3.0,9.0,7.0,12.0,8.0,6.0,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,66.0,loss,6.0,-0.35573122529644274,4393.5,4.0
15492,PB1_168_2142,168,2142,PB1,6.0,11.0,13.0,9.0,7.0,12.0,3.0,11.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,4.0,0.0,92.0,loss,6.0,-0.43478260869565216,4393.5,4.0
20372,PB1_271_1997,271,1997,PB1,6.0,3.0,10.0,21.0,13.0,9.0,6.0,5.0,3.0,13.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,loss,6.0,-0.5701581027667983,4393.5,4.0
15441,PB1_167_2177,167,2177,PB1,7.0,27.0,10.0,39.0,19.0,3.0,18.0,13.0,15.0,15.0,0.0,9.0,7.0,6.0,7.0,9.0,13.0,2.0,7.0,7.0,0.0,5.0,1.0,239.0,loss,6.0,-0.7885375494071145,4393.5,4.0
14028,PB1_139_2165,139,2165,PB1,6.0,15.0,15.0,48.0,19.0,15.0,41.0,13.0,16.0,0.0,0.0,0.0,1.0,6.0,0.0,7.0,3.0,0.0,1.0,2.0,0.0,2.0,0.0,210.0,loss,6.0,-1.150197628458498,4393.5,4.0
17614,PB1_199_2258,199,2258,PB1,6.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,loss,6.0,-0.10079051383399208,4393.5,4.0
24718,PB1_67_99,67,99,PB1,9.0,40.0,34.0,73.0,38.0,53.0,60.0,77.0,37.0,21.0,4.0,10.0,16.0,36.0,23.0,15.0,8.0,5.0,7.0,16.0,5.0,5.0,3.0,595.0,loss,6.0,-2.1205533596837944,4393.5,4.0
15249,PB1_164_2194,164,2194,PB1,6.0,0.0,1.0,2.0,6.0,8.0,2.0,9.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,loss,6.0,-0.22628458498023712,4393.5,4.0
25116,PB1_77_2208,77,2208,PB1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,loss,6.0,-0.06521739130434782,4393.5,4.0
21889,PB1_347_1959,347,1959,PB1,6.0,1.0,2.0,4.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,29.0,loss,6.0,-0.10375494071146242,4393.5,4.0
14190,PB1_143_2128,143,2128,PB1,6.0,14.0,23.0,6.0,9.0,11.0,18.0,11.0,3.0,13.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,loss,6.0,-0.7361660079051382,4393.5,4.0
